Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Part des ménages ayant au moins 1 voiture 2021;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021
01204;Le Poizat-Lalleyriat;2.9;96.6;92.3;0
01206;Lantenay;0;93.2;95.9;0.7
01207;Lapeyrouse;6.9;99.2;83.2;0
01208;Lavours;1.9;92.4;90.7;0
01209;Léaz;2.8;95.8;90.4;0.3
01210;Lélex;3.2;86.7;58.7;0.8
01211;Lent;4.2;94.4;87.6;0.2
01212;Lescheroux;0.6;96.2;90.3;0
01213;Leyment;6.5;96.5;85.3;0.8
01214;Leyssard;0;97.3;94.9;0
01215;Surjoux-Lhopital;1.7;98.4;91.7;0
01216;Lhuis;0.9;96;90.2;0.3
01219;Lompnas;0;90.9;83.8;0
01224;Loyettes;1.6;95.6;92.2;0.5
01225;Lurcy;4.9;98.8;91.4;0
01227;Magnieu;2.8;96.7;85.8;0.7
01228;Maillat;1.2;96;87.1;0.9
01229;Malafretaz;2;90.8;90.9;0.9
01230;Mantenay-Montlin;2.2;94.8;79.8;2.1
01231;Manziat;2.3;94.6;90.3;1
01232;Marboz;3.2;93.6;86.9;0.4
01233;Marchamp;1.7;97;93.3;1.7
01234;Marignieu;3.8;93.6;89.7;1.3
01235;Marlieux;12.7;90.3;79.2;0.4
01236;Marsonnas;1.1;95.9;92;1.1
01237;Martignat;0.9;97.6;93.3;1.3
01238;Massieux;6.1;96.6;86.7;0.9
01239;Massignieu-de-Rives;3.6;97.2;91.3;0
01240;Matafelon-Granges;1;95.9;95.2;0.3
01241;Meillonnas;1.9;95.7;91.8;0.3
01242;Mérignat;0;95.1;80.4;0
01243;Messimy-sur-Saône;5.7;97.2;86.5;0.5
01244;Meximieux;13.9;89.1;75.6;0.7
01245;Bohas-Meyriat-Rignat;1.7;97;91.3;0
01246;Mézériat;2.9;93.7;89.6;0.4
01247;Mijoux;0.6;98.6;73.9;1.8
01248;Mionnay;12.9;97.5;81;0.2
01249;Miribel;12.7;88.8;74;2.8
01250;Misérieux;4.3;97.3;88.7;0.4
01252;Mogneneins;4.1;95.2;90.4;0
01254;Montagnat;2.3;98.5;92.2;0.5
01255;Montagnieu;0.4;94.5;91;0.7
01257;Montanges;7.3;98;85.4;0
01258;Montceaux;5;97.3;86.8;0.5
01259;Montcet;0.5;97.3;92.5;1.1
01260;Le Montellier;5.9;100;87.1;0
01261;Monthieux;6.7;94.2;86.3;0
01262;Montluel;13.1;86.7;74.5;1.6
01263;Montmerle-sur-Saône;5.1;92;86;0.7
01264;Montracol;2.9;93.9;90.8;0.6
01265;Montréal-la-Cluse;1.2;88.5;88.8;2
