Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Libellé;Nb de ménages fiscaux 2021;Médiane du niveau de vie 2021
01320;Replonges;1629;24890
01321;Revonnas;333;27570
01322;Reyrieux;1858;29130
01323;Reyssouze;417;23300
01325;Rignieux-le-Franc;430;26270
01328;Romans;204;25220
01329;Rossillon;75;20680
01330;Ruffieu;78;21390
01331;Saint-Alban;76;24030
01332;Saint-André-de-Bâgé;328;25800
01333;Saint-André-de-Corcy;1429;26550
01334;Saint-André-d'Huiriat;249;24370
01335;Saint-André-le-Bouchoux;139;25930
01336;Saint-André-sur-Vieux-Jonc;492;24070
01337;Saint-Bénigne;554;23070
01338;Groslée-Saint-Benoit;513;23430
01339;Saint-Bernard;603;32220
01342;Sainte-Croix;194;30350
01343;Saint-Cyr-sur-Menthon;737;24170
01344;Saint-Denis-lès-Bourg;2613;25580
01345;Saint-Denis-en-Bugey;981;23670
01346;Saint-Didier-d'Aussiat;347;24190
01347;Saint-Didier-de-Formans;826;28190
01348;Saint-Didier-sur-Chalaronne;1226;23560
01349;Saint-Éloi;213;26490
01350;Saint-Étienne-du-Bois;1125;24380
01351;Saint-Étienne-sur-Chalaronne;643;23960
01352;Saint-Étienne-sur-Reyssouze;227;23260
01353;Sainte-Euphémie;614;27990
01354;Saint-Genis-Pouilly;4661;30790
01355;Saint-Genis-sur-Menthon;209;24660
01356;Saint-Georges-sur-Renon;84;25660
01357;Saint-Germain-de-Joux;197;21610
01358;Saint-Germain-les-Paroisses;177;23210
01359;Saint-Germain-sur-Renon;99;25790
01360;Saint-Jean-de-Gonville;720;42220
01361;Saint-Jean-de-Niost;739;28140
01362;Saint-Jean-de-Thurigneux;299;28910
01363;Saint-Jean-le-Vieux;797;24660
01364;Saint-Jean-sur-Reyssouze;333;22170
01365;Saint-Jean-sur-Veyle;475;24530
01366;Sainte-Julie;415;24930
01367;Saint-Julien-sur-Reyssouze;315;22270
01368;Saint-Julien-sur-Veyle;327;23300
01369;Saint-Just;385;27390
01370;Saint-Laurent-sur-Saône;957;19550
01371;Saint-Marcel;474;25130
01372;Saint-Martin-de-Bavel;175;25590
01373;Saint-Martin-du-Frêne;442;25030
01374;Saint-Martin-du-Mont;806;25490
01375;Saint-Martin-le-Châtel;328;25350
01376;Saint-Maurice-de-Beynost;1633;23570
01378;Saint-Maurice-de-Gourdans;1093;28170
01379;Saint-Maurice-de-Rémens;308;24110
01380;Saint-Nizier-le-Bouchoux;273;22400
01381;Saint-Nizier-le-Désert;328;24340
01382;Sainte-Olive;118;25280
01383;Saint-Paul-de-Varax;600;23200
01384;Saint-Rambert-en-Bugey;974;20170
