Insee - Statistiques locales; ; ; 
Référentiel géographique : France par intercommunalité; ; ; 
Code;Libellé;Population municipale (historique depuis 1876) 2021;Densité de population (historique depuis 1876) 2021
200040798;Communauté de communes Val Vanoise;9046;22.6
200040814;Communauté de communes Briance Sud Haute Vienne;9130;28
200040830;Communauté de communes du Pays de Fénelon;9668;30.1
200040889;Communauté de communes de Portes Sud Périgord;8437;30.2
200040905;Communauté de communes Carmausin-Ségala;29975;62.9
200040947;Communauté d'agglomération Cœur de Flandre;102489;162.6
200040954;Communauté de communes des Hauts de Flandre;53545;119.4
200041010;Communauté de communes Cœur de Savoie;37613;113.9
200041051;Communauté de communes Vallée de la Dordogne et Forêt Bessède;8942;35.7
200041150;Communauté de communes Terrassonnais Haut Périgord Noir;22111;38.9
200041168;Communauté de communes de la Vallée de l'Homme;15828;30
200041283;Communauté de communes de la Plaine du Rhin;18356;122.5
200041317;Communauté d'agglomération du Niortais;122302;150
200041325;Communauté de communes du Pays Rhénan;36987;227.1
200041333;Communauté de communes de Parthenay-Gâtine;36898;44.1
200041366;Communauté de communes Rhône Crussol;34630;173.1
200041416;Communauté de communes Airvaudais-Val du Thouet;6892;30.5
200041440;Communauté de communes de Domme-Villefranche du Périgord;8499;22.6
200041465;Communauté de communes Val Eyrieux;12339;24.2
200041499;Communauté de communes Aunis Atlantique;31796;72.2
200041507;Communauté d'agglomération La Riviera du Levant;65860;317.2
200041515;Communauté de communes du Bassin de Pont-à-Mousson;40238;151.2
200041523;Communauté de communes de la Haute Saintonge;68476;39.4
200041556;Communauté de communes Portes de la Creuse en Marche;6591;19.1
200041572;Communauté de communes Dronne et Belle;11324;22.5
200041614;Communauté de communes Aunis Sud;32875;70.9
200041622;Communauté de communes Ardennes Thiérache;9547;22.3
200041630;Ardenne Métropole;121252;213.5
200041689;Communauté de communes Vals de Saintonge Communauté;52150;36.8
200041721;Communauté de communes de la Haute Comté;16983;38.4
200041762;Communauté d'agglomération Rochefort Océan;64240;152.5
200041788;Communauté d'agglomération du Pays Nord Martinique;95643;174.6
200041853;Communauté de communes du Pays de Montbozon et du Chanois;6629;27.9
200041861;Communauté de communes du Triangle Vert;11000;29.7
200041879;Communauté de communes Terres de Saône;13156;34.7
200041887;Communauté de communes du Val Marnaysien;14536;48.2
200041960;Communauté de communes Pévèle-Carembault;97850;315.3
200041994;Communauté de communes Haut Val de Sèvre;30551;88.2
200042000;Communauté de communes Bruyères-Vallons des Vosges;14937;67.9
200042174;Communauté d'agglomération Lorient Agglomération;206555;279.6
200042182;Communauté de communes du Mont des Avaloirs;15590;28.4
200042190;Communauté d'agglomération de la Porte du Hainaut;158568;427
200042372;Communauté de communes des Coteaux Arrats Gimone;10770;26.8
200042414;Communauté de communes Bresse Revermont 71;9925;35.1
200042463;Communauté de communes de la Montagne Noire;5885;20.4
200042497;Communauté de communes Dombes Saône Vallée;40287;224.5
200042604;Communauté de communes de Granville, Terre et Mer;44842;158.6
200042620;Communauté de communes de la Région de Suippes;7756;16.2
200042646;Communauté de communes Grand Orb communauté de communes en Languedoc;19925;43.3
200042653;Communauté de communes Sud-Hérault;18124;57.7
200042703;Communauté de communes de l'Argonne Champenoise;11755;14.1
200042729;Communauté de communes de la Baie du Cotentin;23077;51.9
200042901;Communauté de communes Drôme Sud Provence;43002;148.7
200042935;Communauté d'agglomération Haut - Bugey Agglomération;63434;92.1
200042943;Communauté de communes du Cap Corse;6628;21.7
200042992;Communauté de communes Perthois-Bocage et Der;5574;19.4
200043016;Communauté de communes Val de Charente;13725;32.7
200043065;Communauté de communes du Val d'Amboise;28071;110.7
200043081;Communauté de communes Chinon, Vienne et Loire;23445;67.6
200043123;Communauté de communes Auray Quiberon Terre Atlantique;89993;172.8
200043156;Communauté de communes du Pays Rethélois;30007;37
200043172;Communauté d'agglomération du Bassin de Brive;108107;133.7
200043263;Communauté de communes Cœur de l'Avesnois;29098;69.6
200043321;Communauté de communes du Pays de Mormal;48266;103.4
200043354;Communauté de communes de Villedieu Intercom;15663;53.3
200043396;Communauté d'agglomération Maubeuge Val de Sambre;123545;359.5
200043404;Communauté de communes du Sud Avesnois;24482;136.8
200043438;Communauté de communes de la Moivre à la Coole;9414;19.2
200043495;Communauté d'agglomération du Pays de Laon;41739;132.3
200043602;Communauté de communes des Albères, de la Côte Vermeille et de l'Illibéris;57158;195.4
200043628;Communauté de communes des Vallées du Clain;27069;72.5
200043693;Communauté de communes Terre Lorraine du Longuyonnais;15379;63.4
200043776;Communauté de communes Pyrénées Audoises;13580;14.7
200043974;Communauté de communes du Sud Gironde;39342;47.4
200043982;Communauté de communes du Bazadais;15776;26
200043990;Communauté de communes Vallons de Haute-Bretagne Communauté;44618;88.5
200044014;Communauté de communes Creuse Grand Sud;11593;18.9
200044030;Communauté de communes des 7 Vallées;29444;59.2
200044048;Communauté de communes Osartis Marquion;42651;129
200044253;Communauté de communes du Bassin de Joinville en Champagne;12282;17.7
200044394;Communauté de communes du Réolais en Sud Gironde;23949;73.7
200044469;Communauté de communes du Pays de Mirepoix;10565;31.7
200044618;Communauté d'agglomération Douaisis Agglo;148582;630.3
200044691;Communauté d'agglomération du Nord Grande Terre;56372;173.7
200046977;Métropole de Lyon;1424069;2668.4
200048551;Communauté de communes du Pays de Craon;28639;44.5
200049187;Communauté d'agglomération du Grand Verdun;27228;90.5
200049211;Communauté de communes Conflent-Canigó;20790;26.5
200049484;Communauté de communes Berry Grand Sud;11492;13.5
200050532;Communauté de communes de Petite-Terre;N/A - résultat non disponible;N/A - résultat non disponible
200054781;Métropole du Grand Paris;7103801;8724.5
200054807;Métropole d'Aix-Marseille-Provence;1911311;606.9
200055481;Communauté de communes Beauce Val de Loire;19540;37.9
200055655;Communauté d'agglomération Roissy Pays de France;360010;1056.1
200055887;Communauté de communes Mayenne Communauté;36697;59
200056232;Communauté d'agglomération Communauté Paris-Saclay;316066;1700.7
200056380;Communauté d'agglomération Plaine Vallée;184945;2496.6
200057859;Communauté d'agglomération Cœur d'Essonne Agglomération;206970;1559.7
200057958;Communauté d'agglomération Paris - Vallée de la Marne;228864;2388.7
200058360;Communauté de communes entre Beauce et Perche;21037;46.5
200058477;Communauté d'agglomération Val d'Yerres Val de Seine;177003;2667.3
200058485;Communauté d'agglomération Val Parisis;286277;3281.5
200058519;Communauté d'agglomération Saint Germain Boucles de Seine;336563;2419.6
200058782;Communauté d'agglomération de Saint-Quentin-en-Yvelines;230021;1929.7
200059228;Communauté d'agglomération Grand Paris Sud Seine Essonne Sénart;357664;1617
200059392;Communauté de communes Bièvre Isère;55693;80.1
200059400;Communauté de communes Porte Océane du Limousin;25704;76
200059871;Communauté de communes du Centre-Ouest;N/A - résultat non disponible;N/A - résultat non disponible
200059889;Communauté urbaine Grand Paris Seine et Oise;427896;847.8
200060010;Communauté d'agglomération Mauges Communauté;121626;92.5
200060457;Communauté d'agglomération de Dembeni / Mamoudzou;N/A - résultat non disponible;N/A - résultat non disponible
200060465;Communauté d'agglomération du Grand Nord de Mayotte;N/A - résultat non disponible;N/A - résultat non disponible
200060473;Communauté de communes du Sud;N/A - résultat non disponible;N/A - résultat non disponible
200065563;Communauté de communes Normandie-Cabourg-Pays d'Auge;31397;113.6
200065589;Communauté de communes Val ès Dunes;18851;113.7
200065597;Communauté urbaine Caen la Mer;274685;756.8
200065647;Communauté d'agglomération Pays de Montbéliard Agglomération;139653;309.4
200065787;Communauté de communes de Pont-Audemer / Val de Risle;32520;99.9
200065886;Communauté d'agglomération Loire Forez Agglomération;111734;84.6
200065894;Communauté de communes de Forez-Est;64264;116.2
200065928;Communauté d'agglomération Lannion-Trégor Communauté;100259;110.9
200066009;Communauté d'agglomération Mulhouse Alsace Agglomération;272677;620.9
200066017;Communauté de communes Lieuvin Pays d'Auge;20367;49.6
200066025;Communauté de communes Alsace Rhin Brisach;33843;102.9
200066033;Communauté de communes Sud Alsace Largue;22286;97
200066041;Communauté de communes Sundgau;47639;110
200066058;Communauté d'agglomération Saint-Louis Agglomération;83448;311.4
200066108;Communauté de communes des Portes de Meuse;16118;21.3
200066116;Communauté de communes Argonne-Meuse;6935;14
200066124;Communauté d'agglomération Gaillac-Graulhet;75329;65.6
200066132;Communauté de communes du Pays de Stenay et du Val Dunois;9497;21.5
200066140;Communauté de communes de l'Aire à l'Argonne;6409;9.7
200066157;Communauté de communes de Commercy - Void - Vaucouleurs;21997;31
200066165;Communauté de communes Val de Meuse - Voie Sacrée;8950;25.6
200066173;Communauté de communes de Damvillers Spincourt;8090;16.4
200066223;Communauté de communes Arize Lèze;11039;29
200066231;Communauté de communes des Portes d'Ariège Pyrénées;40455;97.5
200066280;Communauté de communes du Pithiverais;29208;59.5
200066322;Communauté de communes Terres des Confluences;42294;93.8
200066330;Communauté de communes Terres du Haut Berry;26052;38
200066348;Communauté de communes du Minervois au Caroux;14414;18.4
200066355;Communauté d'agglomération Sète Agglopôle Méditerranée;128868;415.3
200066363;Communauté de communes de la Haute Ariège;7116;6.3
200066371;Communauté de communes Causses et Vallée de la Dordogne;45107;34.9
200066389;Communauté d'agglomération Saint-Lô Agglo;76653;93.5
200066405;Communauté de communes Roumois Seine;41622;122.9
200066413;Communauté de communes Intercom Bernay Terres de Normandie;54213;59.1
200066462;Communauté de communes Interco Normandie Sud Eure;37618;46.4
200066512;Communauté de communes Élan Limousin Avenir Nature;27563;45.1
200066520;Communauté de communes Ouest Limousin;11320;26.9
200066553;Communauté de communes des Monts de Lacaune et de la Montagne du Haut Languedoc;7978;10.1
200066561;Communauté de communes Sidobre Vals et Plateaux;12424;26.8
200066587;Communauté de communes des Monts du Lyonnais;35120;88.5
200066603;Communauté de communes du Pays de Lubersac-Pompadour;7493;29.5
200066637;Communauté de communes Hautes Terres Communauté;11258;12.5
200066645;Communauté de communes Vézère-Monédières-Millesources;5685;10.5
200066652;Communauté de communes Grand Sud Tarn et Garonne;43119;99.2
200066660;Saint-Flour Communauté;23388;17.1
200066678;Communauté de communes de la Châtaigneraie Cantalienne;21059;19.8
200066710;Communauté de communes Cingal-Suisse Normande;24819;64
200066728;Communauté de communes Vallées de l'Orne et de l'Odon;26161;201
200066744;Communauté de communes Haute-Corrèze Communauté;32003;17.9
200066751;Communauté de communes Xaintrie Val'Dordogne;11171;17.1
200066769;Communauté de communes Midi Corrézien;13059;33.5
200066777;Ploërmel Communauté;42404;52.7
200066785;Communauté de communes de l'Oust à Brocéliande;39471;61.7
200066793;Communauté d'agglomération du Grand Annecy;210423;408.6
200066801;Communauté de communes Isigny-Omaha Intercom;26414;45.4
200066819;Communauté de communes du Volvestre;30684;75.2
